spill,65536,2000,131574000,146947094
spill,65536,1,65787,32104111
spill,65536,2000,131574000,173442645
spill,65536,1651,108614337,157449427
spill,65536,2000,131574000,202196510
spill,65536,1,65787,49204015
spill,65536,1,65787,48945730
spill,65536,5,328935,36578641
spill,65536,2,131574,26109390
spill,65536,6,394722,8584317
spill,65536,1,65787,6438474
spill,65536,3,197361,6064825
spill,65536,1,65787,5893264
spill,65536,1,65787,4405095
spill,65536,3,197361,3719188
spill,65536,5,328935,4209278
spill,65536,4,263148,4249195
spill,65536,1,65787,3476009
spill,65536,2,131574,4148539
spill,65536,3,197361,4557596
spill,65536,1,65787,5137415
spill,65536,1,65787,4825461
spill,65536,2,131574,4109669
spill,65536,3,197361,4074423
spill,65536,1,65787,3300843
spill,65536,1,65787,2801424
spill,65536,2,131574,2522347
spill,65536,3,197361,2885126
spill,65536,1,65787,2946864
spill,65536,1,65787,2970843
spill,65536,1,65787,2913858
spill,65536,1,65787,3211793
spill,65536,1,65787,3384038
spill,65536,1,65787,2423955
spill,65536,2,131574,2714816
spill,65536,1,65787,2734671
spill,65536,3,197361,2748500
spill,65536,1,65787,2763541
spill,65536,4,263148,3197307
spill,65536,5,328935,3305602
spill,65536,4,263148,3344848
spill,65536,2,131574,2815120
spill,65536,3,197361,2713646
spill,65536,1,65787,2645090
spill,65536,1,65787,2763387
spill,65536,3,197361,2654987
spill,65536,1,65787,2607008
spill,65536,2,131574,2615164
spill,65536,1,65787,2631286
spill,65536,1,65787,2419866
spill,65536,1,65787,2494697
spill,65536,2,131574,2646487
spill,65536,2,131574,2563869
spill,65536,2,131574,2662947
spill,65536,1,65787,2676845
spill,65536,1,65787,2442389
spill,65536,1,65787,2419216
spill,65536,2,131574,2943317
spill,65536,1,65787,3078243
spill,65536,1,65787,2727177
spill,65536,3,197361,2740102
spill,65536,1,65787,2437054
spill,65536,2,131574,2380244
spill,65536,2,131574,2696077
spill,65536,2,131574,2681107
spill,65536,1,65787,2548994
spill,65536,1,65787,2498187
spill,65536,1,65787,2567747
spill,65536,2,131574,2680917
spill,65536,1,65787,2796551
spill,65536,1,65787,2743035
spill,65536,1,65787,2907016
spill,65536,2,131574,2897205
spill,65536,1,65787,2510058
spill,65536,3,197361,2189405
spill,65536,1,65787,1923043
spill,65536,2,131574,1650063
spill,65536,1,65787,1188106
spill,65536,3,197361,1000714
spill,65536,2,131574,1124461
spill,65536,2,131574,887675
spill,65536,1,65787,640784
spill,65536,2,131574,669560
spill,65536,1,65787,722419
spill,65536,1,65787,666766
spill,65536,1,65787,1152678
spill,65536,1,65787,1036941
spill,65536,1,65787,889992
spill,65536,2,131574,623028
spill,65536,1,65787,512254
spill,65536,3,197361,717625
spill,65536,3,197361,541395
spill,65536,1,65787,543272
spill,65536,2,131574,846728
spill,65536,1,65787,807301
spill,65536,4,263148,679498
spill,65536,1,65787,781657
spill,65536,2,131574,487592
spill,65536,1,65787,582262
spill,65536,1,65787,766704
spill,65536,1,65787,430970
spill,65536,2,131574,631143
spill,65536,3,197361,519140
spill,65536,1,65787,436039
spill,65536,1,65787,494744
spill,65536,1,65787,397166
spill,65536,1,65787,504119
spill,65536,2,131574,834914
spill,65536,3,197361,601186
spill,65536,1,65787,481496
spill,65536,1,65787,456667
spill,65536,4,263148,633474
